Date,P1 : ]0 - 3] kW,P2 : ]3 - 9] kW,P3 : ]9 - 100] kW,P4 : ]100 - 250] kW,P5 : ]250 - 1000] kW,P6 : ]1000 - 12000] kW,P7 : > 12000 kW
20180609,4539781561.0,1844274483.0,7272679736.0,6836349275.0,7606526079.0,57526101225.0,4904609526.0
20180610,3807613060.0,1405170872.0,5825467359.0,5625383254.0,7121187865.0,51647593764.0,4714666838.0
20180611,3247287381.0,1047752820.0,4166966710.0,4616757652.0,6573149164.0,65998863383.0,6456256962.0
20180612,3871701201.0,1388711099.0,5462659615.0,5576013890.0,6935697458.0,87154233442.0,9836519682.0
20180613,4041394787.0,1514362652.0,5954594210.0,5886546482.0,6882194816.0,76812912204.0,7819937508.0
20180614,4414648116.0,1724119451.0,6748872186.0,6669751663.0,7158593555.0,80447115654.0,6692786002.0
20180615,4086564306.0,1482651121.0,6040135161.0,5836647627.0,7072366497.0,58822461548.0,4752476468.0
20180616,4372956204.0,1652842581.0,6701746039.0,6327245988.0,7177836199.0,70105331416.0,5850715138.0
20180617,4049520384.0,1473137617.0,5797052661.0,5828011071.0,6973496616.0,82052585272.0,6980569563.0
20180618,4342587690.0,1665169498.0,6488912579.0,6260376989.0,6917194700.0,81912942182.0,7294005759.0
20180619,4996217216.0,2158560035.0,8294583852.0,7521642923.0,7019465686.0,64156744743.0,5420732709.0
20180620,5433421952.0,2477821138.0,9467244616.0,8289365338.0,6964583818.0,57956144223.0,4978609907.0
20180621,5129381004.0,2229874603.0,8554330491.0,7633578015.0,6731577252.0,103303627080.0,11307019554.0
20180622,5618331183.0,2431950588.0,9309367906.0,8162047680.0,6843218676.0,108449118006.0,11699609532.0
20180623,5435601265.0,2441547040.0,9363070766.0,8127703036.0,6628874844.0,82039940393.0,8147206774.0
20180624,4631135888.0,1986438531.0,7698089586.0,6880875718.0,6280960758.0,73582498016.0,7466286196.0
20180625,5436614629.0,2485327047.0,9490518607.0,8089577773.0,6322348552.0,86966880920.0,9207610506.0
20180626,5426141549.0,2506060405.0,9565126430.0,8116390668.0,6236838398.0,82146878551.0,8894987642.0
20180627,5293608191.0,2422946786.0,9255785449.0,8023093619.0,6201159698.0,88008874434.0,9579577544.0
20180628,5383468811.0,2395184538.0,9141071593.0,7783668765.0,5982958455.0,116362512499.0,13349949886.0
20180629,5088742259.0,2312397456.0,8822517290.0,7685415719.0,5913190674.0,109177453558.0,12491221851.0
20180630,5315750271.0,2492130942.0,9490558916.0,8062158678.0,5796651561.0,79711679003.0,7843016954.0
20180701,5050499597.0,2429709721.0,8722009951.0,7265090395.0,5454686731.0,85226517891.0,9851865964.0
20180702,4331815092.0,2030828479.0,7316342187.0,6289911183.0,5251068976.0,71128478546.0,7671008525.0
